Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Offence Count
2020/21,1,Action Fraud,Fraud offences recorded by Action Fraud,Fraud offences,Fraud: Action Fraud,AF,80444
2020/21,1,Avon & Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80,2
2020/21,1,Avon & Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80,2
2020/21,1,Avon & Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80,1
2020/21,1,Avon & Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,3
2020/21,1,Avon & Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,0
2020/21,1,Avon & Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,0
2020/21,1,Avon & Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,1
2020/21,1,Avon & Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,1
2020/21,1,Avon & Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,0
2020/21,1,Avon & Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,2
2020/21,1,Avon & Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,1
2020/21,1,Avon & Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,0
2020/21,1,Avon & Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0
2020/21,1,Avon & Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0
2020/21,1,Avon & Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0
2020/21,1,Avon & Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0
2020/21,1,Avon & Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0
2020/21,1,Avon & Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0
2020/21,1,Avon & Somerset,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A,5
2020/21,1,Avon & Somerset,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A,10
2020/21,1,Avon & Somerset,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A,9
2020/21,1,Avon & Somerset,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2,2
2020/21,1,Avon & Somerset,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2,3
2020/21,1,Avon & Somerset,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2,3
2020/21,1,Avon & Somerset,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,0
2020/21,1,Avon & Somerset,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,0
2020/21,1,Avon & Somerset,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,1
2020/21,1,Avon & Somerset,Arson endangering life,Criminal damage and arson,Arson,56A,9
2020/21,1,Avon & Somerset,Arson endangering life,Criminal damage and arson,Arson,56A,9
2020/21,1,Avon & Somerset,Arson endangering life,Criminal damage and arson,Arson,56A,7
2020/21,1,Avon & Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B,38
2020/21,1,Avon & Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B,45
2020/21,1,Avon & Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B,53
2020/21,1,Avon & Somerset,Assaults on emergency workers (other than constables),Violence against the Person,Violence with Injury,8T,9
2020/21,1,Avon & Somerset,Assaults on emergency workers (other than constables),Violence against the Person,Violence with Injury,8T,6
2020/21,1,Avon & Somerset,Assaults on emergency workers (other than constables),Violence against the Person,Violence with Injury,8T,7
2020/21,1,Avon & Somerset,Assault with injury,Violence against the person,Violence with injury,8N,677
2020/21,1,Avon & Somerset,Assault with injury,Violence against the person,Violence with injury,8N,759
2020/21,1,Avon & Somerset,Assault with injury,Violence against the person,Violence with injury,8N,801
2020/21,1,Avon & Somerset,Assault with injury on a constable,Violence against the person,Violence with injury,8S,26
2020/21,1,Avon & Somerset,Assault with injury on a constable,Violence against the person,Violence with injury,8S,30
2020/21,1,Avon & Somerset,Assault with injury on a constable,Violence against the person,Violence with injury,8S,33
2020/21,1,Avon & Somerset,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D,47
2020/21,1,Avon & Somerset,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D,37
2020/21,1,Avon & Somerset,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D,39
2020/21,1,Avon & Somerset,Assault without injury,Violence against the person,Violence without injury,105A,1231
2020/21,1,Avon & Somerset,Assault without injury,Violence against the person,Violence without injury,105A,1374
2020/21,1,Avon & Somerset,Assault without injury,Violence against the person,Violence without injury,105A,1403
2020/21,1,Avon & Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104,5
2020/21,1,Avon & Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104,2
2020/21,1,Avon & Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104,2
2020/21,1,Avon & Somerset,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D,38
2020/21,1,Avon & Somerset,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D,32
2020/21,1,Avon & Somerset,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D,39
2020/21,1,Avon & Somerset,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,0
2020/21,1,Avon & Somerset,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,0
2020/21,1,Avon & Somerset,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,0
2020/21,1,Avon & Somerset,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,0
2020/21,1,Avon & Somerset,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,0
2020/21,1,Avon & Somerset,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,0
2020/21,1,Avon & Somerset,Attempted Burglary Residential,Theft offences,Domestic burglary,28F,72
2020/21,1,Avon & Somerset,Attempted Burglary Residential,Theft offences,Domestic burglary,28F,64
2020/21,1,Avon & Somerset,Attempted Burglary Residential,Theft offences,Domestic burglary,28F,87
2020/21,1,Avon & Somerset,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,0
2020/21,1,Avon & Somerset,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,0
2020/21,1,Avon & Somerset,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,0
2020/21,1,Avon & Somerset,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,1
2020/21,1,Avon & Somerset,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,0
2020/21,1,Avon & Somerset,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,1
2020/21,1,Avon & Somerset,Attempted murder,Violence against the person,Violence with injury,2,0
2020/21,1,Avon & Somerset,Attempted murder,Violence against the person,Violence with injury,2,0
2020/21,1,Avon & Somerset,Attempted murder,Violence against the person,Violence with injury,2,4
2020/21,1,Avon & Somerset,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,0
2020/21,1,Avon & Somerset,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,0
2020/21,1,Avon & Somerset,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,0
2020/21,1,Avon & Somerset,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,0
2020/21,1,Avon & Somerset,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,0
2020/21,1,Avon & Somerset,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,0
2020/21,1,Avon & Somerset,Blackmail,Theft offences,Other theft offences,35,44
2020/21,1,Avon & Somerset,Blackmail,Theft offences,Other theft offences,35,45
2020/21,1,Avon & Somerset,Blackmail,Theft offences,Other theft offences,35,37
2020/21,1,Avon & Somerset,Burglary Business and Community,Theft offences,Non-domestic burglary,30C,124
2020/21,1,Avon & Somerset,Burglary Business and Community,Theft offences,Non-domestic burglary,30C,110
2020/21,1,Avon & Somerset,Burglary Business and Community,Theft offences,Non-domestic burglary,30C,121
2020/21,1,Avon & Somerset,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,0
2020/21,1,Avon & Somerset,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,0
2020/21,1,Avon & Somerset,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,0
2020/21,1,Avon & Somerset,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,0
2020/21,1,Avon & Somerset,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,0
2020/21,1,Avon & Somerset,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,0
2020/21,1,Avon & Somerset,Burglary Residential,Theft offences,Domestic burglary,28E,264
2020/21,1,Avon & Somerset,Burglary Residential,Theft offences,Domestic burglary,28E,292
2020/21,1,Avon & Somerset,Burglary Residential,Theft offences,Domestic burglary,28E,340
2020/21,1,Avon & Somerset,Causing death by aggravated vehicle taking,Violence against the person,Death or serious injury - unlawful driving,37.1,0
2020/21,1,Avon & Somerset,Causing death by aggravated vehicle taking,Violence against the person,Death or serious injury - unlawful driving,37.1,0
2020/21,1,Avon & Somerset,Causing death by aggravated vehicle taking,Violence against the person,Death or serious injury - unlawful driving,37.1,0
2020/21,1,Avon & Somerset,Causing death by careless driving under influence of drink or drugs,Violence against the person,Death or serious injury - unlawful driving,4.6,0
2020/21,1,Avon & Somerset,Causing death by careless driving under influence of drink or drugs,Violence against the person,Death or serious injury - unlawful driving,4.6,0
2020/21,1,Avon & Somerset,Causing death by careless driving under influence of drink or drugs,Violence against the person,Death or serious injury - unlawful driving,4.6,0
2020/21,1,Avon & Somerset,Causing death by careless or inconsiderate driving,Violence against the person,Death or serious injury - unlawful driving,4.8,0
2020/21,1,Avon & Somerset,Causing death by careless or inconsiderate driving,Violence against the person,Death or serious injury - unlawful driving,4.8,0
2020/21,1,Avon & Somerset,Causing death by careless or inconsiderate driving,Violence against the person,Death or serious injury - unlawful driving,4.8,0
2020/21,1,Avon & Somerset,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Death or serious injury - unlawful driving,4.9,0
2020/21,1,Avon & Somerset,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Death or serious injury - unlawful driving,4.9,0
2020/21,1,Avon & Somerset,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Death or serious injury - unlawful driving,4.9,0
2020/21,1,Avon & Somerset,Causing death or serious injury by dangerous driving,Violence against the person,Death or serious injury - unlawful driving,4.4,0
2020/21,1,Avon & Somerset,Causing death or serious injury by dangerous driving,Violence against the person,Death or serious injury - unlawful driving,4.4,0
2020/21,1,Avon & Somerset,Causing death or serious injury by dangerous driving,Violence against the person,Death or serious injury - unlawful driving,4.4,0
2020/21,1,Avon & Somerset,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,0
2020/21,1,Avon & Somerset,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,0
2020/21,1,Avon & Somerset,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,0
2020/21,1,Avon & Somerset,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,2
2020/21,1,Avon & Somerset,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,1
2020/21,1,Avon & Somerset,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,3
2020/21,1,Avon & Somerset,Child abduction,Violence against the person,Violence without injury,13,1
2020/21,1,Avon & Somerset,Child abduction,Violence against the person,Violence without injury,13,2
2020/21,1,Avon & Somerset,Child abduction,Violence against the person,Violence without injury,13,2
2020/21,1,Avon & Somerset,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,0
2020/21,1,Avon & Somerset,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,0
2020/21,1,Avon & Somerset,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,0
2020/21,1,Avon & Somerset,Conspiracy to murder,Violence against the person,Violence without injury,3A,0
2020/21,1,Avon & Somerset,Conspiracy to murder,Violence against the person,Violence without injury,3A,0
2020/21,1,Avon & Somerset,Conspiracy to murder,Violence against the person,Violence without injury,3A,0
2020/21,1,Avon & Somerset,Controlling and coercive behaviour,Violence against the Person,Stalking and Harassment,8U,49
2020/21,1,Avon & Somerset,Controlling and coercive behaviour,Violence against the Person,Stalking and Harassment,8U,45
2020/21,1,Avon & Somerset,Controlling and coercive behaviour,Violence against the Person,Stalking and Harassment,8U,49
2020/21,1,Avon & Somerset,Corporate manslaughter,Violence against the person,Homicide,4.1,0
2020/21,1,Avon & Somerset,Corporate manslaughter,Violence against the person,Homicide,4.1,0
2020/21,1,Avon & Somerset,Corporate manslaughter,Violence against the person,Homicide,4.1,0
2020/21,1,Avon & Somerset,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B,95
2020/21,1,Avon & Somerset,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B,99
2020/21,1,Avon & Somerset,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B,85
2020/21,1,Avon & Somerset,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A,179
2020/21,1,Avon & Somerset,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A,212
2020/21,1,Avon & Somerset,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A,229
2020/21,1,Avon & Somerset,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C,269
2020/21,1,Avon & Somerset,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C,367
2020/21,1,Avon & Somerset,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C,403
2020/21,1,Avon & Somerset,Cruelty to children/young persons,Violence against the person,Violence without injury,11A,45
2020/21,1,Avon & Somerset,Cruelty to children/young persons,Violence against the person,Violence without injury,11A,59
2020/21,1,Avon & Somerset,Cruelty to children/young persons,Violence against the person,Violence without injury,11A,55
2020/21,1,Avon & Somerset,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802,6
2020/21,1,Avon & Somerset,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802,2
2020/21,1,Avon & Somerset,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802,4
2020/21,1,Avon & Somerset,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,0
2020/21,1,Avon & Somerset,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,0
2020/21,1,Avon & Somerset,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,1
2020/21,1,Avon & Somerset,Dishonest use of electricity,Theft offences,Other theft offences,43,3
2020/21,1,Avon & Somerset,Dishonest use of electricity,Theft offences,Other theft offences,43,2
2020/21,1,Avon & Somerset,Dishonest use of electricity,Theft offences,Other theft offences,43,1
2020/21,1,Avon & Somerset,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,0
2020/21,1,Avon & Somerset,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,0
2020/21,1,Avon & Somerset,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,0
2020/21,1,Avon & Somerset,Distraction Burglary Residential,Theft offences,Domestic burglary,28G,0
2020/21,1,Avon & Somerset,Distraction Burglary Residential,Theft offences,Domestic burglary,28G,2
2020/21,1,Avon & Somerset,Distraction Burglary Residential,Theft offences,Domestic burglary,28G,6
2020/21,1,Avon & Somerset,Endangering life,Violence against the person,Violence with injury,5E,1
2020/21,1,Avon & Somerset,Endangering life,Violence against the person,Violence with injury,5E,0
2020/21,1,Avon & Somerset,Endangering life,Violence against the person,Violence with injury,5E,1
2020/21,1,Avon & Somerset,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24,0
2020/21,1,Avon & Somerset,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24,0
2020/21,1,Avon & Somerset,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24,1
2020/21,1,Avon & Somerset,Exposure and voyeurism,Sexual offences,Other sexual offences,88E,25
2020/21,1,Avon & Somerset,Exposure and voyeurism,Sexual offences,Other sexual offences,88E,32
2020/21,1,Avon & Somerset,Exposure and voyeurism,Sexual offences,Other sexual offences,88E,48
2020/21,1,Avon & Somerset,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60,0
2020/21,1,Avon & Somerset,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60,1
2020/21,1,Avon & Somerset,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60,0
2020/21,1,Avon & Somerset,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,0
2020/21,1,Avon & Somerset,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,1
2020/21,1,Avon & Somerset,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,1
2020/21,1,Avon & Somerset,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33,3
2020/21,1,Avon & Somerset,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33,2
2020/21,1,Avon & Somerset,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33,3
2020/21,1,Avon & Somerset,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54,5
2020/21,1,Avon & Somerset,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54,2
2020/21,1,Avon & Somerset,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54,4
2020/21,1,Avon & Somerset,Harassment,Violence against the person,Stalking and harassment,8L,341
2020/21,1,Avon & Somerset,Harassment,Violence against the person,Stalking and harassment,8L,399
2020/21,1,Avon & Somerset,Harassment,Violence against the person,Stalking and harassment,8L,370
2020/21,1,Avon & Somerset,Incest or familial sexual offences,Sexual offences,Other sexual offences,23,7
2020/21,1,Avon & Somerset,Incest or familial sexual offences,Sexual offences,Other sexual offences,23,4
2020/21,1,Avon & Somerset,Incest or familial sexual offences,Sexual offences,Other sexual offences,23,8
2020/21,1,Avon & Somerset,Infanticide,Violence against the person,Homicide,4.2,0
2020/21,1,Avon & Somerset,Infanticide,Violence against the person,Homicide,4.2,0
2020/21,1,Avon & Somerset,Infanticide,Violence against the person,Homicide,4.2,0
2020/21,1,Avon & Somerset,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,0
2020/21,1,Avon & Somerset,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,0
2020/21,1,Avon & Somerset,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,0
2020/21,1,Avon & Somerset,Interfering with a motor vehicle,Theft offences,Vehicle interference,126,96
2020/21,1,Avon & Somerset,Interfering with a motor vehicle,Theft offences,Vehicle interference,126,74
2020/21,1,Avon & Somerset,Interfering with a motor vehicle,Theft offences,Vehicle interference,126,93
2020/21,1,Avon & Somerset,Kidnapping,Violence against the person,Violence without injury,36,10
2020/21,1,Avon & Somerset,Kidnapping,Violence against the person,Violence without injury,36,13
2020/21,1,Avon & Somerset,Kidnapping,Violence against the person,Violence without injury,36,9
2020/21,1,Avon & Somerset,Making off without payment,Theft offences,Other theft offences,49A,43
2020/21,1,Avon & Somerset,Making off without payment,Theft offences,Other theft offences,49A,39
2020/21,1,Avon & Somerset,Making off without payment,Theft offences,Other theft offences,49A,69
2020/21,1,Avon & Somerset,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A,0
2020/21,1,Avon & Somerset,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A,0
2020/21,1,Avon & Somerset,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A,0
2020/21,1,Avon & Somerset,Malicious Communications,Violence against the person,Stalking and harassment,8R,480
2020/21,1,Avon & Somerset,Malicious Communications,Violence against the person,Stalking and harassment,8R,569
2020/21,1,Avon & Somerset,Malicious Communications,Violence against the person,Stalking and harassment,8R,689
2020/21,1,Avon & Somerset,Manslaughter,Violence against the person,Homicide,4.1,0
2020/21,1,Avon & Somerset,Manslaughter,Violence against the person,Homicide,4.1,0
2020/21,1,Avon & Somerset,Manslaughter,Violence against the person,Homicide,4.1,0
2020/21,1,Avon & Somerset,Modern slavery,Violence against the person,Violence without injury,106,15
2020/21,1,Avon & Somerset,Modern slavery,Violence against the person,Violence without injury,106,9
2020/21,1,Avon & Somerset,Modern slavery,Violence against the person,Violence without injury,106,6
2020/21,1,Avon & Somerset,Murder,Violence against the person,Homicide,1,0
2020/21,1,Avon & Somerset,Murder,Violence against the person,Homicide,1,0
2020/21,1,Avon & Somerset,Murder,Violence against the person,Homicide,1,1
2020/21,1,Avon & Somerset,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86,83
2020/21,1,Avon & Somerset,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86,51
2020/21,1,Avon & Somerset,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86,75
2020/21,1,Avon & Somerset,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69,7
2020/21,1,Avon & Somerset,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69,12
2020/21,1,Avon & Somerset,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69,3
2020/21,1,Avon & Somerset,Other criminal damage,Criminal damage and arson,Criminal damage,58D,278
2020/21,1,Avon & Somerset,Other criminal damage,Criminal damage and arson,Criminal damage,58D,312
2020/21,1,Avon & Somerset,Other criminal damage,Criminal damage and arson,Criminal damage,58D,342
2020/21,1,Avon & Somerset,Other drug offences,Drug offences,Possession of drugs,92C,1
2020/21,1,Avon & Somerset,Other drug offences,Drug offences,Possession of drugs,92C,3
2020/21,1,Avon & Somerset,Other drug offences,Drug offences,Possession of drugs,92C,3
2020/21,1,Avon & Somerset,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,6
2020/21,1,Avon & Somerset,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,11
2020/21,1,Avon & Somerset,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,4
2020/21,1,Avon & Somerset,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61,14
2020/21,1,Avon & Somerset,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61,3
2020/21,1,Avon & Somerset,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61,4
2020/21,1,Avon & Somerset,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,0
2020/21,1,Avon & Somerset,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,0
2020/21,1,Avon & Somerset,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,0
2020/21,1,Avon & Somerset,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C,0
2020/21,1,Avon & Somerset,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C,0
2020/21,1,Avon & Somerset,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C,0
2020/21,1,Avon & Somerset,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99,26
2020/21,1,Avon & Somerset,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99,29
2020/21,1,Avon & Somerset,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99,28
2020/21,1,Avon & Somerset,Other offences against the State or public order,Public order offences,Public order offences,66,165
2020/21,1,Avon & Somerset,Other offences against the State or public order,Public order offences,Public order offences,66,238
2020/21,1,Avon & Somerset,Other offences against the State or public order,Public order offences,Public order offences,66,250
2020/21,1,Avon & Somerset,Other theft,Theft offences,Other theft offences,49,412
2020/21,1,Avon & Somerset,Other theft,Theft offences,Other theft offences,49,555
2020/21,1,Avon & Somerset,Other theft,Theft offences,Other theft offences,49,559
2020/21,1,Avon & Somerset,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,0
2020/21,1,Avon & Somerset,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,0
2020/21,1,Avon & Somerset,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,0
2020/21,1,Avon & Somerset,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79,11
2020/21,1,Avon & Somerset,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79,16
2020/21,1,Avon & Somerset,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79,15
2020/21,1,Avon & Somerset,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D,36
2020/21,1,Avon & Somerset,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D,43
2020/21,1,Avon & Somerset,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D,33
2020/21,1,Avon & Somerset,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E,202
2020/21,1,Avon & Somerset,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E,251
2020/21,1,Avon & Somerset,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E,238
2020/21,1,Avon & Somerset,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D,43
2020/21,1,Avon & Somerset,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D,80
2020/21,1,Avon & Somerset,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D,56
2020/21,1,Avon & Somerset,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A,0
2020/21,1,Avon & Somerset,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A,0
2020/21,1,Avon & Somerset,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A,1
2020/21,1,Avon & Somerset,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B,1
2020/21,1,Avon & Somerset,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B,3
2020/21,1,Avon & Somerset,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B,4
2020/21,1,Avon & Somerset,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A,3
2020/21,1,Avon & Somerset,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A,2
2020/21,1,Avon & Somerset,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A,6
2020/21,1,Avon & Somerset,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C,29
2020/21,1,Avon & Somerset,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C,30
2020/21,1,Avon & Somerset,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C,36
2020/21,1,Avon & Somerset,Procuring illegal abortion,Violence against the person,Violence without injury,14,0
2020/21,1,Avon & Somerset,Procuring illegal abortion,Violence against the person,Violence without injury,14,0
2020/21,1,Avon & Somerset,Procuring illegal abortion,Violence against the person,Violence without injury,14,0
2020/21,1,Avon & Somerset,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38,3
2020/21,1,Avon & Somerset,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38,1
